hashtag,parent_hashtag,category,w1,3d1,3d2,3d3,zipper,charging
czechianationalteam,football,object,False,True,False,False,False,False
círiodenazaré,holiday,object,True,True,True,False,False,False
daisy,flowers,object,True,False,False,False,False,False
dandadan,anime,object,True,True,True,True,True,True
darlinginthefranxx,anime,object,True,False,False,True,True,True
darthvader,starwars,object,True,True,True,False,False,False
darwinwatterson,theamazingworldofgumball,object,False,False,False,True,True,True
david,other,object,False,True,True,False,False,False
dayofthedead,holiday,object,False,True,True,False,False,False
dc,film,object,True,True,True,True,True,True
deadpool,marvel,object,True,True,True,True,True,True
deathnote,anime,object,True,False,False,False,False,False
demon,cool,object,True,False,False,False,False,False
demonslayer,anime,object,True,True,True,True,True,True
denji,chainsawman,object,False,False,False,True,True,True
desert,nature,object,True,False,False,True,True,True
dhoni,cricket,object,False,False,False,True,True,True
diadelosmuertos,holiday,object,True,False,True,False,False,False
diademuertos,holiday,object,False,False,False,True,True,True
dice,game,object,True,True,True,False,False,False
dinosaur,animal,object,True,True,True,False,False,False
disaster,nature,object,False,False,False,True,True,True
disney,cartoon,object,False,False,False,True,True,True
diwali,hindufestivals,object,False,True,True,True,True,True
diy,other,object,False,True,True,False,False,False
dodgechallenger,car,object,False,True,True,False,False,False
doflamingo,onepiece,object,False,True,False,False,False,False
dog,pet,object,True,True,True,True,True,True
dollars,other,object,True,True,True,True,True,True
dolphin,animal,object,True,True,False,False,False,False
doma,demonslayer,object,False,True,False,False,False,False
donghua,,object,False,False,False,True,True,True
donttouchmyphone,warning,object,True,True,True,True,True,True
doorlock,other,object,False,True,True,False,False,False
doraemon,anime,object,True,True,True,True,True,True
dortmund,football,object,False,True,True,True,True,True
doublewallpaper,other,object,True,True,True,True,True,True
douma,demonslayer,object,True,False,False,False,False,False
dracula,film,object,True,True,True,True,True,True
dragon,animal,object,True,True,True,True,True,True
dragonball,anime,object,True,True,True,True,True,True
dragonquest,game,object,False,False,True,False,False,False
draken,tokyorevengers,object,True,False,False,False,False,False
drcongonationalteam,football,object,False,True,False,False,False,False
dreamcatcher,other,object,True,True,True,False,False,False
drink,fnb,object,True,True,True,True,True,True
drstone,anime,object,True,True,True,True,True,True
duck,animal,object,True,True,True,True,True,True
dune,film,object,False,False,False,True,True,True
eagle,animal,object,True,True,True,True,True,True
easter,holiday,object,True,True,True,True,True,True
ecuadornationalteam,football,object,False,True,False,False,False,False
egyptnationalteam,football,object,False,True,False,False,False,False
eiffeltower,nature,object,True,True,True,False,False,False
elephant,animal,object,False,False,False,True,True,True
emilia,rezero,object,True,True,True,False,False,False
emoji,other,object,True,False,True,True,True,True
eng,football,object,False,False,False,True,True,True
englandnationalteam,football,object,True,True,True,False,False,False
enhyphen,people,object,True,True,True,False,False,False
eren,attackontitan,object,False,True,False,False,False,False
erenyeager,attackontitan,object,True,False,False,True,True,True
erlinghaaland,football,object,False,False,False,True,True,True
esp,football,object,False,False,False,True,True,True
esport,sport,object,False,False,True,False,False,False
exclusive,other,object,False,True,True,False,False,False
exo,people,object,True,True,True,False,False,False
f1,sport,object,False,True,True,False,False,False
fairytail,anime,object,False,False,True,False,False,False
faker,boy,object,False,True,True,False,False,False
familyguy,cartoon,object,False,False,False,True,True,True
fate,anime,object,False,False,False,True,True,True
fategrandorder,game,object,True,False,False,False,False,False
father'sday,holiday,object,True,True,True,False,False,False
feloniousgru,film,object,False,True,False,False,False,False
ferrari,car,object,False,False,False,True,True,True
film,,object,True,True,True,True,True,True
finalfantasytactics,game,object,True,True,True,False,False,False
finn,adventuretime,object,False,False,False,True,True,True
fire,other,object,True,True,True,True,True,True
firework,newyear,object,True,False,True,True,True,True
fish,animal,object,True,True,True,True,True,True
fivenightsatfreddy,film,object,True,False,False,False,False,False
flag,religion,object,True,True,True,True,True,True
flamengo,football,object,True,True,True,True,True,True
flamingo,animal,object,True,True,True,False,False,False
flashlight,other,object,True,True,False,True,True,True
flower,nature,object,False,True,True,False,False,False
flowers,nature,object,True,False,False,True,True,True
fluminense,football,object,False,True,False,False,False,False
fnaf,game,object,True,False,False,False,False,False
fnb,,object,True,True,True,True,True,True
food,fnb,object,True,True,True,True,True,True
football,sport,object,True,True,True,True,True,True
forest,nature,object,True,True,True,True,True,True
formula1racing,sport,object,True,False,True,True,True,True
fortnite,game,object,True,False,False,False,False,False
fox,animal,object,True,True,True,True,True,True
foxy,fivenightsatfreddy,object,True,False,False,False,False,False
fra,football,object,False,False,False,True,True,True
france,religion,object,True,False,False,False,False,False
francenationalteam,football,object,True,True,True,False,False,False
frankenstein,film,object,True,True,True,True,True,True
freefire,game,object,True,True,True,True,True,True
frenchbulldog,dog,object,False,True,True,False,False,False
fridaythe13th,film,object,True,True,True,True,True,True
frieren,anime,object,False,True,False,True,True,True
frieza,dragonball,object,False,True,True,True,True,True
frozen,waltdisney,object,True,True,False,False,False,False
fruit,fnb,object,True,False,False,True,True,True
fujimountain,nature,object,False,True,True,False,False,False
fullmetalalchemist,anime,object,False,False,False,True,True,True
funny,quote,object,True,True,True,False,False,False
funnyquote,quote,object,False,False,False,True,True,True
gaara,naruto,object,False,True,True,False,False,False
galaxy,universe,object,True,True,True,True,True,True
game,,object,True,True,True,True,True,True
gameofthrones,film,object,False,True,False,True,True,True
gamepad,game,object,True,True,True,True,True,True
garaa,narutoshippuden,object,False,False,False,True,True,True
gardevoir,pokemon,object,False,True,False,False,False,False
garena,game,object,False,False,True,False,False,False
garnacho,football,object,False,True,False,False,False,False
gawrgura,hololive,object,True,True,True,False,False,False
gear,technology,object,True,True,True,False,False,False
gemini,zodiac,object,True,False,True,False,False,False
gengar,pokemon,object,True,True,True,True,True,True
genos,onepunchman,object,True,False,False,False,False,False
genshinimpact,game,object,True,True,True,True,True,True
geometric,abstract,object,True,True,True,True,True,True
ger,football,object,False,False,False,True,True,True
germany,religion,object,True,False,True,False,False,False
germanynationalteam,football,object,True,True,True,False,False,False
getosuguru,jujutsukaisen,object,False,False,False,True,True,True
ghananationalteam,football,object,False,True,False,False,False,False
ghibli,anime,object,False,False,False,True,True,True
ghost,other,object,True,True,True,True,True,True
ghostface,scream,object,True,True,True,True,True,True
ghostoftsushima,game,object,True,True,True,False,False,False
ghostofyotei,game,object,True,False,False,False,False,False
ghostrider,film,object,True,False,True,True,True,True
giraffe,animal,object,False,True,False,False,False,False
girl,people,object,True,True,True,True,True,True
girly,other,object,True,True,True,False,False,False
giyu,demonslayer,object,True,False,False,False,False,False
giyuu,demonslayer,object,False,True,False,False,False,False
glennquagmire,familyguy,object,False,False,False,True,True,True
glitter,girly,object,False,True,True,True,True,True
goat,animal,object,True,False,False,False,False,False
god,religion,object,True,True,True,True,True,True
godonchristmasday,holiday,object,False,False,True,False,False,False
godzilla,film,object,False,False,False,True,True,True
gogito,dragonball,object,True,False,False,False,False,False
gohan,dragonball,object,False,False,False,True,True,True
gojo,jujutsukaisen,object,True,True,True,False,False,False
goku,dragonball,object,True,True,True,True,True,True
goldenstatewarriors,basketball,object,False,False,False,True,True,True
